danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,id,mood,motivation,release_decade
0.546,0.128,-13.162,0.0393,0.943,0.0225,0.326,119.037,2NE61HPxiQyPbNhggQqrzG,0.0,0.0,2010s
0.667,0.314,-14.966,0.0479,0.961,0.78,0.322,92.384,0bPiyfCmBIWqDDQZ6KqFXu,0.0,0.0,2010s
0.393,0.0668,-20.755,0.0404,0.963,0.105,0.0384,136.938,7BSMSvK0WxrDeI98bswYa8,0.0,0.0,2010s
0.594,0.338,-11.365,0.039,0.85,0.0592,0.14,119.605,4Omfr1OV4e0eaLcPe5JFRa,0.0,0.0,2000s
0.623,0.143,-14.264,0.0337,0.922,0.0,0.305,95.503,5Q9uicfLDEFlfUgdwLeMG9,0.0,0.0,2020s
0.538,0.676,-8.846,0.038,0.665,7.98e-06,0.158,82.522,2fBL047Cv32R3UFEup6xkP,0.0,1.0,2010s
0.686,0.721,-4.476,0.17,0.612,0.0,0.713,92.036,5AQTFpm3oDPTenmw5Lmfoi,1.0,1.0,2020s
0.569,0.164,-23.189,0.0477,0.415,4.23e-06,0.193,75.015,4kRYzAthqHDQNaY9ojIrzp,0.0,0.0,2020s
0.643,0.371,-11.466,0.0925,0.0947,0.0251,0.262,84.974,5dpVR1rDmop49jmnv58bzQ,0.0,0.0,2020s
0.773,0.747,-9.091,0.0302,0.0512,0.014,0.778,125.049,79fsfEopCeTW5EHoULRxrB,1.0,1.0,2020s
0.64,0.364,-8.411,0.0317,0.617,0.0,0.261,120.028,2XcLjDHtCBm4ZxW6OBNVow,0.0,0.0,2020s
0.694,0.366,-8.365,0.0482,0.28,1.97e-05,0.0965,74.986,4DfhsWuqZonO5URxvwkBSK,0.0,0.0,2010s
0.833,0.602,-7.399,0.0419,0.0207,0.0,0.771,109.987,4cnxBdA0DtORMDlbuRPFqK,1.0,1.0,2020s
0.658,0.133,-11.254,0.0352,0.901,0.0,0.122,91.054,6UR5tB1wVm7qvH4xfsHr8m,0.0,0.0,2010s
0.706,0.622,-6.032,0.113,0.493,0.0,0.615,90.022,16DNJ8y6k97DxuMyV49W7V,1.0,1.0,2020s
0.344,0.384,-7.064,0.0317,0.629,0.000445,0.334,163.664,5rcnAHBclBs0OGV4rATEnR,0.0,0.0,2020s
0.715,0.729,-4.633,0.146,0.178,0.0,0.294,106.657,1WMMrUKNFsnEG2csDURxhb,0.0,1.0,2010s
0.405,0.102,-12.794,0.0438,0.644,1.84e-06,0.202,134.303,7AxKYTuOktAVkEFGS9Szjd,0.0,0.0,2020s
0.637,0.236,-8.634,0.0797,0.133,0.0,0.266,118.85,4PMi46eDFyLmHKKtVTrDGb,0.0,0.0,2020s
0.505,0.636,-5.214,0.037,0.501,0.0,0.283,169.87,6WeJGp7MB7sEEf9InLEvh1,0.0,1.0,2020s
0.577,0.363,-12.378,0.0263,0.86,0.000282,0.265,91.511,75UMtPC77vqKRwfSuYuNPO,0.0,0.0,2010s
0.68,0.28,-8.51,0.0336,0.843,0.0,0.146,114.047,5JAQUTIpKkbccoFiJlYrV0,0.0,0.0,2020s
0.862,0.306,-13.58,0.0499,0.76,0.0,0.772,120.005,0ZGNuav3HfUf1iOLoF3CaO,1.0,0.0,2010s
